DATE,PRCP,TAVG
Jan-51,5.4,-17.7
Feb-51,12.2,-17.2
Mar-51,7.5,-6.4
Apr-51,7.5,9.6
May-51,26.2,19.4
Jun-51,44.6,21.7
Jul-51,3.5,24.1
Aug-51,0.3,21.5
Sep-51,31.7,17.1
Oct-51,42.9,8.6
Nov-51,21.2,-4
Dec-51,20.9,-8.7
Jan-52,4.8,-14.1
Feb-52,3.4,-15.3
Mar-52,10.9,-5
Apr-52,55.9,8.1
May-52,24.6,15.2
Jun-52,86.1,19.5
Jul-52,20.7,22.9
Aug-52,9.4,23.4
Sep-52,8.9,16.4
Oct-52,36.9,4.6
Nov-52,26.1,-10.1
Dec-52,10,-17.1
Jan-53,14.2,-15.4
Feb-53,25.4,-9.9
Mar-53,62.1,-2.2
Apr-53,17,8.9
May-53,14.2,17.5
Jun-53,7.8,22.4
Jul-53,16.8,24.2
Aug-53,57.1,20.7
Sep-53,6.8,19.2
Oct-53,44,6.4
Nov-53,37.1,-7.6
Dec-53,8.7,-12.9
Jan-54,1.7,-14.6
Feb-54,2.8,-13.1
Mar-54,10.2,-5.8
Apr-54,15.8,9.1
May-54,35.3,12.6
Jun-54,60.6,18.6
Jul-54,22.2,20.9
Aug-54,60.6,22.4
Sep-54,27.2,16.3
Oct-54,0.1,8.2
Nov-54,17,-4.6
Dec-54,21.2,-18.2
Jan-55,0.5,-17.1
Feb-55,6.9,-12.1
Mar-55,23,-6.1
Apr-55,33.4,6.3
May-55,56.8,16.2
Jun-55,8.9,22.9
Jul-55,39.7,22.8
Aug-55,21.2,23.4
Sep-55,15.1,16.4
Oct-55,25.8,6.9
Nov-55,21.8,-1
Dec-55,11.9,-7.7
Jan-56,5.3,-18.3
Feb-56,13,-12.7
Mar-56,12.3,-4
Apr-56,42.7,10.5
May-56,48.9,15.7
Jun-56,70.9,18.4
Jul-56,5.6,25
Aug-56,7.5,21.5
Sep-56,21,16.2
Oct-56,20.7,8.1
Nov-56,2.7,-0.7
Dec-56,15,-11.8
Jan-57,7.6,-15.1
Feb-57,10.9,-14.2
Mar-57,8.3,-0.4
Apr-57,41,7.4
May-57,15.1,13.7
Jun-57,12.8,23.2
Jul-57,33.5,23.3
Aug-57,23.9,21.8
Sep-57,22.1,17
Oct-57,44,8.3
Nov-57,9.5,-1.4
Dec-57,9.5,-7.6
Jan-58,26.7,-14.6
Feb-58,17.1,-7.8
Mar-58,36.1,-0.3
Apr-58,49.1,9.2
May-58,36.7,14.3
Jun-58,38.2,18.1
Jul-58,58.1,22.5
Aug-58,61.5,21
Sep-58,43.4,14.7
Oct-58,1.6,7.6
Nov-58,9.2,-3.5
Dec-58,23.3,-9.3
Jan-59,4.1,-15.1
Feb-59,10.8,-11.4
Mar-59,42.5,-5.1
Apr-59,51.1,11.3
May-59,39.3,13.9
Jun-59,33,20.7
Jul-59,44.4,22.2
Aug-59,30.4,21.6
Sep-59,27.3,20.1
Oct-59,38.9,9.1
Nov-59,19.8,-5.9
Dec-59,20.7,-14.6
Jan-60,16.8,-14.6
Feb-60,7.1,-9
Mar-60,22.4,-5.5
Apr-60,26.4,7.7
May-60,51.9,13.1
Jun-60,39.8,19.7
Jul-60,44,21.9
Aug-60,6.8,22.3
Sep-60,16,16.4
Oct-60,16.4,6.5
Nov-60,10.1,-4
Dec-60,10.3,-11.1
Jan-61,13.3,-16.2
Feb-61,2.2,-10
Mar-61,13.7,2
Apr-61,9.4,15.6
May-61,37.1,20.1
Jun-61,14.4,23.5
Jul-61,21.1,25.5
Aug-61,18.8,23.5
Sep-61,7.7,19.1
Oct-61,26.3,5.7
Nov-61,15.7,-1.3
Dec-61,2.5,-10.5
Jan-62,8.8,-15.7
Feb-62,7.1,-11.5
Mar-62,4.4,3.6
Apr-62,22.9,11.2
May-62,1.2,21.4
Jun-62,20.1,24.9
Jul-62,3.2,27.5
Aug-62,1.1,26.4
Sep-62,28.8,19.9
Oct-62,23.5,9.9
Nov-62,18.3,-3.1
Dec-62,6.5,-10
Jan-63,0.8,-12.1
Feb-63,3.7,-5.6
Mar-63,24,7
Apr-63,15,8.5
May-63,15.2,19.1
Jun-63,75.7,23.9
Jul-63,13.1,26.4
Aug-63,62,23.6
Sep-63,6,17.2
