DATE 36.6,PRCP,TAVG
Dec-51,5,-2.09
Jan-52,0,-3.98
Feb-52,17.6,-3.65
Mar-52,39.4,3.87
Apr-52,59.7,13.05
May-52,50,17.32
Jun-52,40.6,21.43
Jul-52,72.1,24.63
Aug-52,99.6,20.02
Sep-52,21.5,18.35
Oct-52,35.9,9.5
Nov-52,40.8,4.15
Dec-52,1.5,-5.27
Jan-53,0.4,-4.97
Feb-53,0.1,0.11
Mar-53,13.3,6.28
Apr-53,21.2,9.6
May-53,79.8,17.65
Jun-53,44.2,21.85
Jul-53,174,23.69
Aug-53,97,24.52
Sep-53,36.2,16.71
Oct-53,60.7,11.76
Nov-53,16.8,4.25
Dec-53,21.1,-4.64
Jan-54,8.4,-4.21
Feb-54,7.6,-1.21
Mar-54,4.5,4.57
Apr-54,28.5,13.04
May-54,22.9,17.05
Jun-54,60.2,20.5
Jul-54,74.4,22.5
Aug-54,121.5,21.45
Sep-54,51.1,17.05
Oct-54,21.7,9.85
Nov-54,9.2,5.14
Dec-54,13.8,-8.69
Jan-55,0.2,-8.81
Feb-55,3.1,0.76
Mar-55,11,6.71
Apr-55,15.5,12.22
May-55,6.4,17.88
Jun-55,41,22.07
Jul-55,71,24.48
Aug-55,93.7,24.34
Sep-55,131,17.08
Oct-55,74.9,9.81
Nov-55,1,2.96
Dec-55,2.3,-0.45
Jan-56,13.4,-6.66
Feb-56,0,-0.76
Mar-56,22.8,5.81
Apr-56,48.4,12.93
May-56,25.5,16.83
Jun-56,183.1,20.39
Jul-56,61.9,23.4
Aug-56,186.3,21.32
Sep-56,14,17.88
Oct-56,35.2,10.01
Nov-56,7.7,0.82
Dec-56,0,-4.28
Jan-57,11,-5.97
Feb-57,3.8,-4.09
Mar-57,8.4,6.32
Apr-57,55.3,11.77
May-57,73.6,16.22
Jun-57,71.5,20.55
Jul-57,122,23.3
Aug-57,50.1,23.26
Sep-57,19.2,14.86
Oct-57,2,9.86
Nov-57,26.3,5.44
Dec-57,0,-1.52
Jan-58,1.5,-7.36
Feb-58,0,-1.13
Mar-58,21.2,5.99
