DATE 38.233,PRCP,TAVG
Dec-51,1.8,-3.85
Jan-52,0,-6.3
Feb-52,3.1,-5.86
Mar-52,6.4,3.21
Apr-52,54.5,12.14
May-52,66.8,17.31
Jun-52,15.9,22.57
Jul-52,19.2,27.19
Aug-52,27.1,21.97
Sep-52,42.6,18.58
Oct-52,25,8.82
Nov-52,24.5,2.5
Dec-52,0.6,-8.32
Jan-53,0,-7.96
Feb-53,0,-3.03
Mar-53,7.7,4.75
Apr-53,29.7,8.03
May-53,21.2,17.82
Jun-53,37.2,22.88
Jul-53,64.7,25.6
Aug-53,154,23.95
Sep-53,23.7,17.27
Oct-53,47.6,11.64
Nov-53,28.1,2.21
Dec-53,8.1,-7.58
Jan-54,2.4,-6.88
Feb-54,3.2,-2.56
Mar-54,0.2,5
Apr-54,5.1,11.6
May-54,22.9,16.26
Jun-54,87.2,20.33
Jul-54,72.5,22.67
Aug-54,149.3,21.28
Sep-54,68.1,16.44
Oct-54,26.3,8.82
Nov-54,9.7,3.14
Dec-54,16,-12.52
Jan-55,1.8,-13.95
Feb-55,0,-2.08
Mar-55,16.2,3.7
Apr-55,14.3,10.51
May-55,1.9,17.18
Jun-55,49.5,21.37
Jul-55,92.4,24
Aug-55,23.6,24.28
Sep-55,62.7,16.89
Oct-55,16.5,8.56
Nov-55,0,-0.01
Dec-55,2.3,-4.15
Jan-56,5.2,-9.48
Feb-56,0,-5.2
Mar-56,17.4,3.34
Apr-56,22.7,11.29
May-56,17.6,16.12
Jun-56,107.3,20.02
Jul-56,114.3,22.49
Aug-56,94.6,20.94
Sep-56,6.7,17.13
Oct-56,33.2,8.96
Nov-56,7.1,-3.16
Dec-56,0.3,-8.41
Jan-57,12.9,-10.47
Feb-57,1.7,-7.84
Mar-57,0.6,3.45
Apr-57,36.2,10.56
May-57,54.3,15.02
Jun-57,27.5,20.73
Jul-57,48.6,22.91
Aug-57,73,22.57
Sep-57,51.2,13.99
Oct-57,0,8.48
Nov-57,10.8,3.1
Dec-57,0,-4.64
Jan-58,1,-10.32
Feb-58,0,-4.17
Mar-58,2.6,3.46
Apr-58,41.1,11.32
May-58,60.8,16.5
Jun-58,20.5,21.28
Jul-58,214.7,24.25
Aug-58,122.9,20.45
Sep-58,69.8,17.47
Oct-58,35.8,8.27
Nov-58,3.6,0.82
Dec-58,4.3,-4.06
Jan-59,0,-9.27
Feb-59,11.3,-2.66
Mar-59,30.7,3.95
Apr-59,3.9,10.58
May-59,10.4,16.41
Jun-59,44.4,20.91
Jul-59,126.3,24.52
Aug-59,223.2,21.5
Sep-59,48.5,15.34
Oct-59,43.4,11.33
Nov-59,0.9,-0.11
Dec-59,4.7,-6.4
Jan-60,0.4,-7.62
Feb-60,0,-1.2
Mar-60,15.9,5.61
Apr-60,63.3,9.21
May-60,32.7,15.22
Jun-60,5.9,22.1
Jul-60,85.3,23.85
Aug-60,95.4,21.48
Sep-60,106.3,17.03
Oct-60,30.4,8.9
Nov-60,0.4,0.91
Dec-60,1.4,-8.35
Jan-61,2.8,-9.22
Feb-61,4.5,-4.45
Mar-61,7.4,4.54
Apr-61,28.8,11.97
May-61,12.7,16.86
Jun-61,54.3,21.57
Jul-61,175.5,23.98
Aug-61,90.7,21.85
Sep-61,92.4,15.74
Oct-61,62.2,9.77
Nov-61,16.4,2.7
Dec-61,2.2,-6.4
Jan-62,4.2,-10.26
Feb-62,2,-2.73
Mar-62,0,1.53
Apr-62,0.9,8.42
May-62,5.1,16.05
Jun-62,33.1,20.14
Jul-62,163.8,23.01
Aug-62,69,22.1
Sep-62,50.4,16.1
Oct-62,8.3,10.24
Nov-62,18.5,-0.25
Dec-62,0,-6.75
Jan-63,0,-10.29
Feb-63,0.4,-5.23
Mar-63,8.4,4.57
Apr-63,20.1,9.4
May-63,77.6,17.05
Jun-63,50.2,20.49
Jul-63,109.1,23.05
Aug-63,64.5,23.21
Sep-63,27,16.42
Oct-63,14.3,8.63
Nov-63,22.5,1.77
Dec-63,3.1,-8.92
Jan-64,4.3,-8.7
Feb-64,6.5,-7.91
Mar-64,14.1,4.34
Apr-64,68.9,13.19
May-64,61.5,16.12
Jun-64,40.3,20
Jul-64,137.4,22.25
Aug-64,218.1,21.42
Sep-64,89,15.74
Oct-64,49.5,10.04
Nov-64,1.9,1.07
Dec-64,3.9,-6.65
Jan-65,0.3,-6.83
Feb-65,4.9,-3.88
Mar-65,1.9,1.46
Apr-65,47.7,10.84
May-65,12.1,16.82
Jun-65,5.9,21.38
Jul-65,28.8,23.32
Aug-65,28.6,22.26
Sep-65,13.8,16.6
Oct-65,15.4,11.11
Nov-65,0.2,2.12
Dec-65,0,-8.45
Jan-66,1.5,-7.05
Feb-66,6.2,-1.35
Mar-66,18.9,3.95
Apr-66,14.5,11.01
May-66,17.7,17.02
Jun-66,22.7,21.37
Jul-66,86.6,23.5
Aug-66,110,22.38
Sep-66,23.2,15.38
Oct-66,20,9.14
Nov-66,12.8,0.13
Dec-66,0,-8.69
Jan-67,6.2,-10.95
Feb-67,0.8,-8.24
Mar-67,9.7,2.89
Apr-67,20.6,10.16
May-67,33.6,17.62
Jun-67,20.5,20.85
Jul-67,71.6,23.93
Aug-67,330.8,21.91
Sep-67,159.2,14.79
Oct-67,11.9,8.63
Nov-67,24.5,-0.56
Dec-67,0,-5
Jan-68,0,-10.08
Feb-68,0,-8.81
Mar-68,19.8,3.34
Apr-68,11.2,9.69
May-68,8.3,15.55
Jun-68,14.2,21.76
Jul-68,134.5,23.64
Aug-68,159,19.71
Sep-68,28.4,15.64
Oct-68,51.3,8.86
Nov-68,19.9,1.15
Dec-68,2.9,-4.32
Jan-69,1.8,-9.44
Feb-69,5.1,-5.93
Mar-69,6,3.11
Apr-69,36.6,10.4
May-69,36.5,18.47
Jun-69,8,20.31
Jul-69,106.1,22.45
Aug-69,107.4,20.86
Sep-69,102.8,16.11
Oct-69,38.3,10.43
Nov-69,2.1,-1.84
Dec-69,0,-8.26
Jan-70,0,-8.67
Feb-70,4.2,-3.24
Mar-70,1.7,-0.81
Apr-70,32.8,9.77
May-70,33.9,16.65
Jun-70,46.9,19.96
Jul-70,39,24.08
Aug-70,210.6,21.47
Sep-70,50.8,14.97
Oct-70,10.3,9.29
Nov-70,0,-0.28
Dec-70,0.8,-7.25
Jan-71,6.4,-11.49
Feb-71,2.3,-7.47
Mar-71,7.3,2.13
Apr-71,9.6,11.77
May-71,20.1,16.86
Jun-71,16.1,20.16
Jul-71,154.3,24.44
Aug-71,16.5,22.68
Sep-71,74.3,15.35
Oct-71,8.9,8.42
Nov-71,28.3,1.59
Dec-71,3.6,-8.63
Jan-72,11,-9.17
Feb-72,4.5,-9.89
Mar-72,2.7,4.4
Apr-72,6.5,9.97
May-72,16.6,17.44
Jun-72,17.4,22.05
Jul-72,68.2,23.36
Aug-72,126,22.22
Sep-72,39.1,14.83
Oct-72,14.1,8.1
Nov-72,19,1.36
Dec-72,0.9,-6.41
Jan-73,7.9,-9.63
Feb-73,0.3,-2.01
Mar-73,9.8,4.23
Apr-73,12.3,12.25
May-73,5.4,15.72
Jun-73,43.9,21.19
Jul-73,92.2,23.26
Aug-73,140.3,22.78
Sep-73,105.8,15.86
Oct-73,65.9,7.88
Nov-73,2.9,1.28
Dec-73,0,-7.13
Jan-74,1.4,-7.44
Feb-74,3.7,-5.62
Mar-74,0,1.19
Apr-74,16.7,11.36
May-74,28.5,17.55
Jun-74,32.3,20.44
Jul-74,101.7,23.78
Aug-74,9.4,21.85
Sep-74,53,15.57
Oct-74,6.1,8.26
Nov-74,10.3,2.57
Dec-74,7.5,-9.97
Jan-75,0.6,-6.69
Feb-75,0.3,-3.48
Mar-75,9.7,3.56
Apr-75,41.5,9.66
May-75,6.2,15.45
Jun-75,46.7,21.72
Jul-75,76.3,23.46
Aug-75,86.6,23.93
Sep-75,74.3,17.1
Oct-75,37.2,10.16
Nov-75,13.7,1.28
Dec-75,1.7,-9.22
Jan-76,0,-9.15
Feb-76,14.2,-1.9
Mar-76,1.9,1.01
Apr-76,16.7,9.69
May-76,13.2,15.58
Jun-76,19.4,19.74
Jul-76,94.5,22.85
Aug-76,126.8,19.82
Sep-76,51.9,16.49
Oct-76,18.2,9.85
Nov-76,0,-1.89
Dec-76,8.2,-7.98
Jan-77,1.7,-11.85
Feb-77,1.1,-6.02
Mar-77,2.5,3.5
Apr-77,30,11.14
May-77,13.8,15.89
Jun-77,13,20.59
Jul-77,77.6,23.69
Aug-77,135.4,21.22
Sep-77,36.6,16.74
Oct-77,33.3,10.88
Nov-77,8.3,1.4
Dec-77,1.6,-3.51
Jan-78,0,-8.31
Feb-78,13.5,-7.8
Mar-78,31.3,2.45
Apr-78,0,11.37
May-78,46.9,17.71
Jun-78,29.6,21.18
Jul-78,161.3,22.85
Aug-78,107.3,21.83
Sep-78,95.5,15.96
Oct-78,36.4,9.13
Nov-78,10,2.2
Dec-78,2.3,-4.65
Jan-79,0,-5.48
Feb-79,13.1,-2.29
Mar-79,8.7,2.71
Apr-79,2.3,10.01
May-79,3.4,15.24
Jun-79,60.2,21.13
Jul-79,123.9,21.56
Aug-79,60,21.32
Sep-79,21.7,15.39
Oct-79,10.2,10.53
Nov-79,10.4,-0.44
Dec-79,0.1,-4.52
Jan-80,1.9,-9.24
Feb-80,2.7,-6.12
Mar-80,25.2,2.58
Apr-80,4.6,9.04
May-80,13.6,16.31
Jun-80,45.3,21.71
Jul-80,28.5,23.21
Aug-80,79.1,21.42
Sep-80,41.4,15.1
Oct-80,17.5,9.95
Nov-80,0.5,3.13
Dec-80,0,-6.95
Jan-81,1.6,-8.38
Feb-81,0,-4.39
Mar-81,16.3,4.69
Apr-81,11.3,11.23
May-81,4,15.78
Jun-81,113.2,21.09
Jul-81,169.2,23.83
Aug-81,64.2,22.58
Sep-81,20.5,16.32
Oct-81,11.6,6.39
Nov-81,4.2,-1.44
Dec-81,0.1,-7.42
Jan-82,0.7,-7.6
Feb-82,5.9,-2.34
Mar-82,2.7,4.15
Apr-82,6,10.48
May-82,56.9,17.6
Jun-82,12.7,21.11
Jul-82,145.5,22.53
Aug-82,53.7,21.22
Sep-82,42.8,15.46
Oct-82,16.2,11.78
Nov-82,7.6,0.36
Dec-82,0,-7.25
Jan-83,1,-8.22
Feb-83,1,-5.56
Mar-83,9.6,2.51
Apr-83,22.9,10.36
May-83,41.9,17.29
Jun-83,32.6,20.75
Jul-83,45.1,22.8
Aug-83,29.2,21.56
Sep-83,60.5,16.7
Oct-83,49.1,10.26
Nov-83,3.1,1.53
Dec-83,0,-6.3
Jan-84,1.7,-10.56
Feb-84,0.7,-7.37
Mar-84,4.4,1.38
Apr-84,8.3,11.53
May-84,99.9,16.99
Jun-84,66.8,20.65
Jul-84,60.1,22.83
Aug-84,117.1,20.88
Sep-84,37.2,15.53
Oct-84,5.1,8.91
Nov-84,0.7,1.83
Dec-84,4.6,-10.59
Jan-85,0.5,-8.85
Feb-85,1.4,-4.06
Mar-85,1.3,0.93
Apr-85,9.1,11.11
May-85,81.4,17.37
Jun-85,30.6,20.96
Jul-85,24.3,23.35
Aug-85,167,21.69
Sep-85,124,14.21
Oct-85,21.1,9.69
Nov-85,0,0.03
Dec-85,1.8,-8.05
Jan-86,0,-7.49
Feb-86,4.1,-6.76
Mar-86,17.4,2.15
Apr-86,15.5,9.53
May-86,12.2,18.07
Jun-86,155.9,20.53
Jul-86,38.4,22.65
Aug-86,43.5,20.84
Sep-86,17.6,15.63
Oct-86,14.6,8.22
Nov-86,2.8,-1.08
Dec-86,3.9,-5.9
Jan-87,1.7,-6.56
Feb-87,2.7,-1.11
Mar-87,3.5,2.66
Apr-87,46.7,12.03
May-87,13.9,17.23
Jun-87,87.8,20.2
Jul-87,48.9,23.44
Aug-87,107.3,21.45
Sep-87,32.6,16.99
Oct-87,42.4,11.03
Nov-87,6.2,1.41
Dec-87,0,-5.55
Jan-88,0,-7.68
Feb-88,2.7,-5.34
Mar-88,9.3,0.05
Apr-88,0,9.66
May-88,90.2,16.86
Jun-88,98.5,20.62
Jul-88,160.6,22.16
Aug-88,150.7,20.58
Sep-88,17.1,16.59
Oct-88,8,9.6
Nov-88,0,0.74
Dec-88,3.7,-6.26
Jan-89,8.1,-9.53
Feb-89,6.8,-3.98
Mar-89,3.2,1.81
Apr-89,38.8,11.13
May-89,2.5,17.22
Jun-89,65.9,20.09
Jul-89,58.6,22.98
Aug-89,18.9,21.9
Sep-89,54.9,16.78
Oct-89,8.5,9.82
Nov-89,12.7,0.04
Dec-89,0.3,-2.45
Jan-90,0.6,-7.35
Feb-90,8.8,-2.38
Mar-90,62.7,4.88
Apr-90,51.4,9.15
May-90,36.2,16.46
Jun-90,20.8,20.96
Jul-90,91.5,23.3
Aug-90,51.7,22.05
Sep-90,15.7,17.51
Oct-90,40.7,10.29
Nov-90,0.6,3.43
Dec-90,0.1,-5.08
Jan-91,1.2,-5.92
Feb-91,4.1,-3.41
Mar-91,33.9,4.58
Apr-91,46.2,10.75
May-91,72.8,15.45
Jun-91,27.1,20.97
Jul-91,62.8,23.94
Aug-91,18.7,23.18
Sep-91,54.4,17.25
Oct-91,19.7,8.56
Nov-91,0,0.64
Dec-91,5,-6.08
Jan-92,0,-9.25
