DATE 33.067,PRCP,TAVG
Dec-51,0.9,4.96
Jan-52,0.8,3.71
Feb-52,2.8,4.76
Mar-52,31,8.53
Apr-52,51.3,17.24
May-52,148.9,19.83
Jun-52,72.7,24.34
Jul-52,147.9,26.79
Aug-52,355.3,21.96
Sep-52,192.4,20.28
Oct-52,77.7,14.11
Nov-52,35.9,9.58
Dec-52,7.5,3.31
Jan-53,11.8,3.18
Feb-53,6.2,5.79
Mar-53,34.9,10.59
Apr-53,40.5,14.97
May-53,53.5,21.49
Jun-53,154.2,24.17
Jul-53,241.7,25.98
Aug-53,25.1,27.36
Sep-53,89.6,21.02
Oct-53,75.3,15.33
Nov-53,21.2,9.54
Dec-53,30,4.22
Jan-54,6.7,2.95
Feb-54,22.2,5.77
Mar-54,34.3,9.25
Apr-54,65,16.17
May-54,112.2,19.84
Jun-54,57.1,24.57
Jul-54,155.8,26.14
Aug-54,176.7,25.53
Sep-54,84.4,21.05
Oct-54,109,14.83
Nov-54,71.3,10.63
Dec-54,9.2,1.38
Jan-55,5.2,1.06
Feb-55,12.2,6.09
Mar-55,22.8,9.6
Apr-55,33.4,14.23
May-55,26.1,20.2
Jun-55,49.4,23.78
Jul-55,223.3,25.36
Aug-55,171.7,26.26
Sep-55,252,19.75
Oct-55,112.5,14.73
Nov-55,13.7,9.3
Dec-55,7.2,6.12
Jan-56,10.3,1.17
Feb-56,1.3,5.81
Mar-56,24.2,10.32
Apr-56,64.5,16.87
May-56,74.9,18.77
Jun-56,405.9,22.98
Jul-56,56.3,26.02
Aug-56,398.9,23.87
Sep-56,45.4,21.56
Oct-56,36.4,15.2
Nov-56,27.4,7.84
Dec-56,3.1,2.73
Jan-57,20.1,2.64
Feb-57,7,6
Mar-57,23.5,10.74
Apr-57,67.8,16.15
May-57,74.5,18.66
Jun-57,100.3,23.7
Jul-57,195.3,25.68
Aug-57,26.4,26.46
Sep-57,72.7,19.7
Oct-57,37.4,15.03
Nov-57,27.1,10.18
Dec-57,1.9,6.22
Jan-58,5.3,2.56
Feb-58,0.1,5.18
Mar-58,20.6,12.32
Apr-58,79,16.67
May-58,127.4,19.1
Jun-58,139.5,23.3
Jul-58,151.3,26.7
Aug-58,361.3,23.83
Sep-58,102.8,20.7
Oct-58,42.6,14.16
Nov-58,81.7,8.9
Dec-58,18.1,5.43
Jan-59,17.4,2.55
Feb-59,12.2,5.02
Mar-59,64.5,10.02
Apr-59,9.9,16.47
May-59,131.4,18.06
Jun-59,50,24.65
Jul-59,56.3,28.1
Aug-59,57.4,27.11
Sep-59,87.7,21.2
Oct-59,69,16.51
Nov-59,56.4,8.85
Dec-59,8.9,4.82
Jan-60,0.6,3.33
Feb-60,27.5,7.31
Mar-60,35.5,10.56
Apr-60,23.2,14.54
May-60,86.8,19.16
Jun-60,22.2,24.84
Jul-60,39.7,27.35
Aug-60,119.4,24.85
Sep-60,145.6,21.19
Oct-60,109.7,14.75
Nov-60,27,9.32
Dec-60,11.6,4.39
Jan-61,8.6,2.98
Feb-61,12.4,5.18
Mar-61,28.8,9.6
Apr-61,66.5,16.57
May-61,40.1,20.54
Jun-61,371.6,24.04
Jul-61,170.6,27.03
Aug-61,77.5,26.67
Sep-61,59,21.61
Oct-61,174.2,14.31
Nov-61,41.5,10.74
Dec-61,9.5,4.75
Jan-62,10.8,2.7
Feb-62,6.1,6.87
Mar-62,4.9,10.66
Apr-62,56.9,14.59
May-62,20.8,20.4
Jun-62,74.6,25.19
Jul-62,292.7,26.68
Aug-62,237.9,24.79
Sep-62,60.8,20.61
Oct-62,94.9,15.27
Nov-62,36.1,9
Dec-62,10.6,4.99
Jan-63,0.2,2.65
Feb-63,1.6,5.94
Mar-63,38.7,10.2
Apr-63,74.1,14.28
May-63,228.1,19.91
Jun-63,88.4,24.35
Jul-63,101.2,25.41
Aug-63,141.2,25.89
Sep-63,360.1,20.33
Oct-63,48.3,16.13
Nov-63,47.5,10.12
Dec-63,11.1,5.17
Jan-64,4.5,3.26
Feb-64,7.1,1.43
Mar-64,25.6,10.29
Apr-64,219.2,16.27
May-64,98.5,18.96
Jun-64,66.7,23.81
Jul-64,136.2,26
Aug-64,123.5,25.92
Sep-64,272.6,19.52
Oct-64,105,15.68
Nov-64,19.7,9.96
Dec-64,26.4,4.32
Jan-65,2.6,4.37
Feb-65,5.2,6.45
Mar-65,22.3,10.18
Apr-65,98.6,15.32
May-65,48.1,21.03
Jun-65,75.1,24.15
Jul-65,226.6,26.25
Aug-65,153.6,24.09
Sep-65,102.5,20.8
Oct-65,70.5,16.23
Nov-65,9.7,9.81
Dec-65,9.6,3.3
